id;title;speaker;abstract_text;room_id;timeslot_id
1;oh;irgendwann oof darein;../fake-data/blob/hipster.txt;1;1
2;resolut;lest huzzah though;../fake-data/blob/hipster.txt;2;2
3;Grundbegriff ah anders;eifrig drat;../fake-data/blob/hipster.txt;3;3
4;krampfen;flambieren zuungunsten;../fake-data/blob/hipster.txt;4;4
5;supposing incidentally;schlottern schnurstracks zuwider;../fake-data/blob/hipster.txt;5;5
6;who;indeed aus südlich;../fake-data/blob/hipster.txt;6;6
7;Bier mildern Stunde;Diplomatie seinetwillen wohlverdient;../fake-data/blob/hipster.txt;7;7
8;although beiderseits woot;Kupfer weiden;../fake-data/blob/hipster.txt;8;8
9;Wille;whether;../fake-data/blob/hipster.txt;9;9
10;Essen Schiff;instead;../fake-data/blob/hipster.txt;10;10
